ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
255,مخاطب,Contact,contactid,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
256,خدمت مورد,Case Service,brd_caseservice,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
257,برچسب فارسی در CRM ثبت نشده,ثبت نشده,modifiedbyexternalpartyname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
258,برچسب فارسی در CRM ثبت نشده,Actual Effort,brd_actualeffort,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
259,برچسب فارسی در CRM ثبت نشده,TFS Number,brd_tfsnumber,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
260,برچسب فارسی در CRM ثبت نشده,Backlog Size,brd_backlogsize,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
261,برچسب فارسی در CRM ثبت نشده,sprinttimeold,brd_sprinttimeold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
262,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_projectname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
263,برچسب فارسی در CRM ثبت نشده,Last Review Result,brd_lastreviewresult,Memo,متن بلند,بله,نیازمند تعیین برچسب توسط مالک CRM
264,برچسب فارسی در CRM ثبت نشده,Real End Date (State),brd_realenddate_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
265,برچسب فارسی در CRM ثبت نشده,Quote,brd_quote,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
266,برچسب فارسی در CRM ثبت نشده,ثبت نشده,primarycontactidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
267,تیم مالک,Owning Team,owningteam,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
268,برچسب فارسی در CRM ثبت نشده,Real Start Date (Last Updated On),brd_realstartdate_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
269,برچسب فارسی در CRM ثبت نشده,ثبت نشده,isescalatedname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
270,برچسب فارسی در CRM ثبت نشده,Reopened Date,brd_reopeneddate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
271,دلیل وضعیت,Status Reason,statuscode,Status,وضعیت,بله,ترجمه کنترل‌شده
272,برچسب فارسی در CRM ثبت نشده,Effort Remaining,brd_effortremaining,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
273,ارجاع به,Assign To,brd_assignto,Picklist,انتخابی,بله,ترجمه کنترل‌شده
274,برچسب فارسی در CRM ثبت نشده,Create By Old,brd_createbyold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
275,راهکار/نتیجه حل,Resolution,brd_resolution,Memo,متن بلند,بله,ترجمه کنترل‌شده
276,برچسب فارسی در CRM ثبت نشده,Sprint Time,brd_sprinttime,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
277,برچسب فارسی در CRM ثبت نشده,Modified By Old,brd_modifiedbyold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
278,برچسب فارسی در CRM ثبت نشده,Decrement Entitlement Terms,decremententitlementterm,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
279,ماژول پرگار,Pargar Module,brd_pargarmodule,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
280,برچسب فارسی در CRM ثبت نشده,ثبت نشده,prioritycodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
281,برچسب فارسی در CRM ثبت نشده,Total Complete Service Activities Duration,brd_totalcompleteserviceactivitiesduration,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
282,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_releasetimename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
283,نام مالک مورد,ثبت نشده,owneridname,String,رشته‌ای,بله,ترجمه کنترل‌شده
284,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_ismilestonename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
285,برچسب فارسی در CRM ثبت نشده,ثبت نشده,incidentstagecodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
286,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_accountname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
287,برچسب فارسی در CRM ثبت نشده,ثبت نشده,createdonbehalfbyname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
288,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_quoteproductname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
289,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_resolvedbydiagname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
290,برچسب فارسی در CRM ثبت نشده,Actual Duration (min) (Last Updated On),brd_actualdurationmin_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
291,برچسب فارسی در CRM ثبت نشده,Stage Id,stageid,Uniqueidentifier,شناسه یکتا,بله,نیازمند تعیین برچسب توسط مالک CRM
292,برچسب فارسی در CRM ثبت نشده,ثبت نشده,entityimage_url,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
293,برچسب فارسی در CRM ثبت نشده,ثبت نشده,modifiedonbehalfbyyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
294,برچسب فارسی در CRM ثبت نشده,TFSSprintYear,brd_tfssprintyear,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
295,مالک مورد,Owner,ownerid,Owner,مالک,بله,ترجمه کنترل‌شده
296,برچسب فارسی در CRM ثبت نشده,First Response Sent,firstresponsesent,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
